"","modality","question","word","given_count","selected_count","model_rating","select_rate","r_modality","p_modality"
"49","Foot_leg","Foot_leg.3","tyvuniated",146,54,0.31312677,0.36986301369863,0.253785513347384,0.192527676340923
"50","Foot_leg","Foot_leg.4","covigating",150,39,0.5346394,0.26,0.253785513347384,0.192527676340923
"51","Foot_leg","Foot_leg.4","crilders",150,79,0.5363831,0.526666666666667,0.253785513347384,0.192527676340923
"52","Foot_leg","Foot_leg.4","erpechitades",150,53,0,0.353333333333333,0.253785513347384,0.192527676340923
"53","Foot_leg","Foot_leg.4","refomped",150,90,0.53298634,0.6,0.253785513347384,0.192527676340923
"54","Foot_leg","Foot_leg.4","saglidity",150,50,0.40026793,0.333333333333333,0.253785513347384,0.192527676340923
"55","Foot_leg","Foot_leg.4","spaightness",150,74,0.06873383,0.493333333333333,0.253785513347384,0.192527676340923
"56","Foot_leg","Foot_leg.4","squeasts",150,65,0.031194605,0.433333333333333,0.253785513347384,0.192527676340923
"57","Gustatory","Gustatory.1","ancechuttos",129,70,0.98296213,0.542635658914729,0.540136050806801,0.00300742497987923
"58","Gustatory","Gustatory.1","brolorous",129,73,0.49728912,0.565891472868217,0.540136050806801,0.00300742497987923
"59","Gustatory","Gustatory.1","fifuffies",129,51,0.9725727,0.395348837209302,0.540136050806801,0.00300742497987923
"60","Gustatory","Gustatory.1","fleceils",129,59,0.24692957,0.457364341085271,0.540136050806801,0.00300742497987923
"61","Gustatory","Gustatory.1","frumbered",129,33,0,0.255813953488372,0.540136050806801,0.00300742497987923
"62","Gustatory","Gustatory.1","susteries",129,69,0.98816085,0.534883720930233,0.540136050806801,0.00300742497987923
"63","Gustatory","Gustatory.1","thrurring",129,32,0.01830756,0.248062015503876,0.540136050806801,0.00300742497987923
"64","Gustatory","Gustatory.2","alphociration",140,45,0.009458214,0.321428571428571,0.540136050806801,0.00300742497987923
"65","Gustatory","Gustatory.2","ascodiments",140,82,0.9427344,0.585714285714286,0.540136050806801,0.00300742497987923
"66","Gustatory","Gustatory.2","bambeagna",140,65,0.9150879,0.464285714285714,0.540136050806801,0.00300742497987923
"67","Gustatory","Gustatory.2","boincole",140,48,0.9230422,0.342857142857143,0.540136050806801,0.00300742497987923
"68","Gustatory","Gustatory.2","figels",140,70,0.027846806,0.5,0.540136050806801,0.00300742497987923
"69","Gustatory","Gustatory.2","flicetock",140,40,0.17097029,0.285714285714286,0.540136050806801,0.00300742497987923
"70","Gustatory","Gustatory.2","myrticates",140,70,0.15342122,0.5,0.540136050806801,0.00300742497987923
"71","Gustatory","Gustatory.3","aspintades",136,73,0.8742541,0.536764705882353,0.540136050806801,0.00300742497987923
"72","Gustatory","Gustatory.3","diturably",136,33,0.016600505,0.242647058823529,0.540136050806801,0.00300742497987923
"73","Gustatory","Gustatory.3","erpechitades",136,52,0.9070376,0.382352941176471,0.540136050806801,0.00300742497987923
"74","Gustatory","Gustatory.3","marreccone",136,69,0.898686,0.507352941176471,0.540136050806801,0.00300742497987923
"75","Gustatory","Gustatory.3","rehotes",136,40,0.04862415,0.294117647058824,0.540136050806801,0.00300742497987923
"76","Gustatory","Gustatory.3","scalilla",136,75,0.16741812,0.551470588235294,0.540136050806801,0.00300742497987923
"77","Gustatory","Gustatory.3","selorine",136,66,0.33943528,0.485294117647059,0.540136050806801,0.00300742497987923
"78","Gustatory","Gustatory.4","cazzagra",157,75,0.84677947,0.477707006369427,0.540136050806801,0.00300742497987923
"79","Gustatory","Gustatory.4","citocoli",157,98,0.84191877,0.624203821656051,0.540136050806801,0.00300742497987923
"80","Gustatory","Gustatory.4","erdellation",157,52,0.049707122,0.331210191082803,0.540136050806801,0.00300742497987923
"81","Gustatory","Gustatory.4","incarpritation",157,32,0.030682288,0.203821656050955,0.540136050806801,0.00300742497987923
"82","Gustatory","Gustatory.4","ipanelle",157,85,0.866526,0.54140127388535,0.540136050806801,0.00300742497987923
"83","Gustatory","Gustatory.4","seasslins",157,99,0.11813162,0.630573248407643,0.540136050806801,0.00300742497987923
"84","Gustatory","Gustatory.4","thuckeding",157,30,0.02635125,0.191082802547771,0.540136050806801,0.00300742497987923
"85","Hand_arm","Hand_arm.1","dispights",149,62,0.12862228,0.416107382550336,0.43329300804463,0.0212613286327064
"86","Hand_arm","Hand_arm.1","grumbered",149,41,0.069487154,0.275167785234899,0.43329300804463,0.0212613286327064
"87","Hand_arm","Hand_arm.1","menniated",149,77,0.2517262,0.516778523489933,0.43329300804463,0.0212613286327064
